Name,Package Name,Description,Rating,Rating Count
Fire Stats for Snapchat,com.snappedstats.snappedstats,"Snapped: Fire Stats for Snapchat gives you the reports and analytics you need to get the most out of your Snapchat account!

- Chart your friend count over time
- See your average # of views and screenshots
- Loads of extra reports like which friends use the most emojis and which friends are most active

Check out the app and see for yourself all the insights you've always wanted, and more!

Subscription to Snapped: Fire Stats Analytics Package unlocks all reports and analytics. Account will be charged for renewal within 24-hours prior to the end of the current period. Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable. Payment will be charged to your iTunes Account at purchase confirmation. You can cancel your subscription via the following url: https://support.apple.com/HT202039. Terms Of Use: http://api.snappedstats.com/terms.html. Privacy Policy: http://api.snappedstats.com/privacy.html.",,
Tank Go - Fire For Stars,com.wang.town,"Fight for the stars!
This is a fresh new tank battle game.
There are many enemies on the way.
There are forts, soldiers, tanks…
You have to control your tank fire up and avoid the enemy's artillery.
You can call a helicopter to assist in the battle, and you can also fire a rocket at the enemy.
Reasonable operation will greatly enhance your overall combat capability.
FEATURES:
* Beautiful graphics 
* 30 levels spanning 
* 3 game modes: FUN, ENJOYABLE, and TRICKY!
* many bullets to choose from",4.5,13
Tanks Fire Up-pocket wars hero,com.qy2.TankFire,"Prepare yourself for the stunning adventure in the world of epic tank battles.
Hop into a tank and immerse yourself in a world of furious tank battles.Exciting and swiftly battles won't give you a time for thinking!

Unlock your tank and become stronger, faster, and deadlier.
Take out your enemies with missile, laser and other unexpected props.

Battle for your honor and experience epic, such as scale exciting tank games.",4.5,93
Jump Ball-Bounce On Tower Tile,com.balls.JumpBall,"Slide your finger and rotate the spiral tower, jump over obstacles to help the ball hop to the end. Be careful, you must have a great timing!

Beat the highest score on the leaderboard.

Game features:
-Simple and smooth sliding touch operation
- rich game scenes
- Specially designed exciting levels",4.5,4219
Fire Fire Fire! A Physics Adventure,com.gpimports.FireFireFireLite,"Help! There's fire and we need YOU to help us bring the fire fighter NOW!

Get ready for a challenging, super fun and highly addictive game app unlike any other!

Some of the main features include:

-High quality professional graphics that will transport you immediately away from reality!

-Increasingly challenging levels that will constantly exercise your brain!

-To succeed; just tap on the firefighter to change shapes and reach the fire ASAP!

-Beware of the multiple obstacles along the way...we don't want the whole town to go up in flames!

-Extremely easy to use interface! Perfect for the young and the young at heart!

-Brain exercise! It's been proven that a daily dose of brain challenging is an excellent way to lead a healthier and happier life!

-Use your best logistics and calculating skills when timing your next move: you don't want to get stuck and not reach the fire!


What are you waiting for? The town is about to go into flames and we need YOU! Start having fun and challenging your mind now!",,
