Name,Package Name,Description,Rating,Rating Count
Boston stickers by DC Denison,com.mojilala.packs.3057,"Boston

This sticker pack is delivered to you by DC Denison and MojiLaLa.

Boston stickers are designed by DC Denison and powered by MojiLaLa.

Package description from DC Denison:

Revolutionary Boston

================================================================
MojiLaLa is an artsy sticker marketplace for every messaging conversation made from designers from all over the world. MojiLaLa gives you access to some of the most high-quality, unique and creative emojis developed to enhance your messaging and allow you to freely express yourself through every kind of expression and emotion. New original designs from your favorite artists are always being added, as well as local and trending topics in your community.",,
THE F.I.T.T. PIT,com.fitnessmobileapps.thefittpit,"Download the THE F.I.T.T. PIT App today to plan and schedule your classes! From this mobile App you can view class schedules, sign-up for classes, view ongoing promotions, as well as view the studio’s location and contact information. You can also click through to our social pages! Optimize your time and maximize the convenience of signing up for classes from your device! Download this App today!",,
