"40","0.035_'marathon'","0.035_'boston'","0.032_'bombing'","0.032_'suspect'","0.021_'unreal'","0.021_'train'","0.021_'nd'"
"41","0.226_'tsarnaev'","0.187_'dzhokhar'","0.038_'right'","0.029_'theft'","0.029_'auto'","0.029_'grand'","0.019_'star'"
"42","0.049_'marathon'","0.049_'boston'","0.030_'bombing'","0.020_'person'","0.018_'live'","0.012_'aftermath'","0.012_'http'"
"43","0.025_'suspect'","0.015_'tsarnaev'","0.015_'boston'","0.014_'explosion'","0.012_'arm'","0.012_'consider'","0.012_'die'"
"44","0.119_'boston'","0.079_'explosion'","0.069_'go'","0.064_'marathon'","0.059_'prayer'","0.055_'thought'","0.055_'victim'"
"45","0.045_'boston'","0.027_'person'","0.022_'tsarnaev'","0.019_'hurt'","0.019_'together'","0.019_'pray'","0.010_'sorrow'"
"46","0.064_'boston'","0.036_'marathon'","0.021_'make'","0.014_'bombing'","0.014_'explosion'","0.014_'tersangka'","0.014_'bom'"
"47","0.056_'our'","0.040_'boston'","0.019_'menino'","0.019_'will'","0.019_'overcome'","0.019_'davis'","0.019_'asked'"
"48","0.053_'boston'","0.027_'ever'","0.027_'bomb'","0.013_'terrorist'","0.013_'make'","0.013_'sit'","0.013_'america'"
"49","0.017_'mccain'","0.017_'morning'","0.017_'claim'","0.017_'falsely'","0.017_'can'","0.017_'longer'","0.017_'word'"
