Name,Package Name,Description,Rating,Rating Count
Shocking Santa - Santa Claus Gone Bad Stickers,com.dragongamestudio.Santa,"Are you’re tired of the “normal” Santa Claus stickers and you want something no-one else has? Something shocking! Something fun! Something outrageous? Then you gotta download SHOCKING SANTA! 

To celebrate christmas we have put together the most fantastic X-MAS sticker pack you'll ever see. More than 100 stickers with Santa and his friends celebrating, partying and simply put GOING CRAZY! 

Shocking Santa has got something for everyone, big or small, naughty or nice. Download it now and wish all your family and friends a Merry Christmas!",,
Santa Smash-ing challenge 2017-Best Pixel Xmas Fun,com.herksvision.santadash,"Welcome to the Pixel Santa World. This is time to Play the Best Christmas app of the year. Santa needs your help to smash the maximum gifts and pick them for kids. 

Dash Santa Claus around the world in his special pixel vehicle. Santa Claus is on his way to get beautiful gifts for kids. Help santa to smash gifts in his path and get scored! 

Smash your way through a beautiful futuristic dimension, smashing obstacles and targets in your path and

Journey through a beautiful pixel snow world smashing gifts and targets in your path.

This experience requires focus and concentration to not only travel as far as you can, but also break the beautiful gifts and avoid the objects that stand in your way.

Test your skills in the best adventure of the year and help santa to smash gifts.

Play Smashing Santa and experiencing the best destruction physics on mobile devices.",,
Snowball Blaster,58ZC268W8Y.ZAPPZAPPGUN,"This is the game controller for ""Satans Little Helper"" which is a Christmas shooting game for AppleTV. 
With this controller, you can play shooting games, like Time Crisis, where you point the device at the TV like the gun. You can then shoot the Santa's in the game with snowballs. 
Please make sure to download the Apple TV app ""Satans Little Helper"" and play the only point and shoot game in the App Store.",,
Santa on Ice - Santa Clause games gone wild,com.racingpulsestudios.santaonice,"Santa Clause is trapped in an ice glacier! Now he is seeking your help! Come save him right now!

Santa’s path to his toy shop is obstructed by ice blocks and he cannot get to his elves. Your job is to clear the way for Santa and save Christmas!

Tap to destroy the ice blocks strategically to clear levels so Santa can get back to the North Pole.

Do not let him fall through the ice; he will die and you will lose.

Hurry up! Save Santa Clause from ice trap!",4.5,28
