"Join .@pgockley, .@StarkAuthor, Meredith O'Connor &amp; .@MJASpeakers  in supporting #TheCamelProject: via .@YouTube https://t.co/NgGHr4oM1U  #Keynote #Speakers #Education #Parenting #Principals #Schoolshooting #Schools #HR #SHRM #Confidence #Empowerment  Bookings DM .@MJASpeakers https://t.co/B1brzT5eH7"
RT @teamparaatheid: Vandaag hebben we mee mogen doen met een oefening 'schoolshooting'. Zeer leerzaam wat ons betreft! Luister mee via deze…
An acronym to remember: NRA --Never Republicans Again  #NRA #ParklandSchoolShooting #AR15 #schoolshooting #GetRidOfGuns #VoteDemocratic #NotMyPresident #TheResistance
RT @teamparaatheid: Vandaag hebben we mee mogen doen met een oefening 'schoolshooting'. Zeer leerzaam wat ons betreft! Luister mee via deze…
RT @teamparaatheid: Vandaag hebben we mee mogen doen met een oefening 'schoolshooting'. Zeer leerzaam wat ons betreft! Luister mee via deze…
Vandaag hebben we mee mogen doen met een oefening 'schoolshooting'. Zeer leerzaam wat ons betreft! Luister mee via deze link. ^MK #training #rotterdam #procedures #schoolshooting #rtvrijnmond  https://t.co/4mMuLoMwa1
"RT @CBSMiami: Brother of slain #MSD football coach on Aaron Feis, #Parkland school shooting #AaronFeis #SchoolShooting https://t.co/4oBxWZ8…"
"RT @SSAC9111: National Conference on Active School Shooters - Oct 4-5, 2018 - Orlando, FL (2 days before the start of IACP in Orlando) @The…"
"The Freedom Club is FREE on @amazon until Saturday!   https://t.co/ynHj0ALryp. A group of teenagers decide to stand up to the school bullies, but what they uncover is nothing they expected. #KindleDeals #freebooks #schoolshooting #bullying"
"RT @CBSMiami: Brother of slain #MSD football coach on Aaron Feis, #Parkland school shooting #AaronFeis #SchoolShooting https://t.co/4oBxWZ8…"
"RT @CBSMiami: Brother of slain #MSD football coach on Aaron Feis, #Parkland school shooting #AaronFeis #SchoolShooting https://t.co/4oBxWZ8…"
"RT @TacticalSolMag: School shootings by Paul Howe (Combat Shooting &amp; Tactics). Individual responsibility, team leadership and school leader…"
"RT @CBSMiami: Brother of slain #MSD football coach on Aaron Feis, #Parkland school shooting #AaronFeis #SchoolShooting https://t.co/4oBxWZ8…"
"RT @TacticalSolMag: School shootings by Paul Howe (Combat Shooting &amp; Tactics). Individual responsibility, team leadership and school leader…"
"@CNNPolitics Let's see, Americans killed by Muslim? Americans killed by guns in America? Outside of 911, massed killing of Americans, by ""massed"" I mean over four, Las Vegas, sandy hook, Pulse, Dallas, NC Church, Florida #schoolshooting: California work party, waffle house, theaters, etc. #p2"
