"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  And the stupid is continuing...if @Walmart wants to compete with @amazon they have to sell everything, dah...don't search for items you don't want! You think...much? #stopthestupid #FactsMatter #FactCheck #FDT"
"RT @AccusedPodcast: Today's #AftermathPod drop marks the final episode of our side project. The day Ep8 was written, there was the shooting…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"Today's #AftermathPod drop marks the final episode of our side project. The day Ep8 was written, there was the shooting at #SantaFeHighSchool. The final recording session was amid the #AnnapolisShooting. It's fitting, we think, that this survivor takes on #ThoughtsAndPrayers. https://t.co/qSgSYnKYx1"
#GunControlNow #Resist #NeverAgain #BanAssaultWeapons #NRAIsATerroristOrganization #NRABloodMoney #SantaFeHighSchool #Parkland #SantaFe #journalism #journalism #journalists  #journalismmatters #FactsMatter #EnoughIsEnough https://t.co/scnZyxbjKO
RT @cali_rosen: All of Texas is hanging their heads in sorrow for #SantaFeHighSchool  🇨🇱   🙏Sending Prayers https://t.co/1murqjtCgy
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
RT @BillyCorben: Today in Miami Beach. #SantaFeHighSchool https://t.co/hFMGlEMGao
#sfhs #santafehighschool #santafe #santafestrong #tisdale #healing #dispatcherproblems #dispatcher #ptsd #schoolshooting #lostlives #10 #tenliveslost #neverthoughtidseetheday https://t.co/uy0uVLARIc
"RT @PotatUS_45: Ok so this time folkes after the very bad #santafehighschool texas shooting, instead of inacting any real #GunControl, we a…"
#NEVERAGAIN #BanAssaultWeapons #Parkland #SandyHook #Columbine #VirginiaTech #SantaFeHighSchool #NRARUSSIANDONATIONS    https://t.co/j03ArYksXE via @RollingStone
"RT @alysonward: An exchange student from Pakistan was one of the 10 killed Friday at #SantaFeHighSchool.  Sunday, thousands gathered at a l…"
RT @sandeepdass508: #SantaFeHighSchool https://t.co/081Ti8DDlk
"RT @alysonward: An exchange student from Pakistan was one of the 10 killed Friday at #SantaFeHighSchool.  Sunday, thousands gathered at a l…"
RT @TheKurtCarr: My prayers for the family and all impacted by yet another school shooting near me in Houston at Santa Fe High School. Thes…
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
"RT @Pop_Culture_Tee: Protect Our Children 👶  Spread the word, Grab yours https://t.co/Vkvqg8RCnM #GunLaws #GunControlNow #schoolshooting #B…"
"RT @nyc_erik: As a #Teacher, it is difficult to imagine the loss of students and faculty at the hands of another student.   It is impossibl…"
RT @RyanBingham: #SantaFeHighSchool #Texas 💔 https://t.co/kMxzPDxGDy
RT @Heather_3000: #MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  @60Minutes just said it...wish there was a pill to cure…
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  @60Minutes just said it...wish there was a pill to cure us of stupidity!  Glad I am not alone! #FactsMatter #FactCheck #FDT #stopthestupid
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  Breathe deep...cause a lil dab will do you...and hold, exhale...wait for it, there you go...and my state is much happy $$$  The #Evergreen state!"
"RT @nyc_erik: As a #Teacher, it is difficult to imagine the loss of students and faculty at the hands of another student.   It is impossibl…"
RT @ProjectBernie16: There Is A Reason We See This Pattern Only In America. #SantaFeHighSchool #GunControlNow https://t.co/yQ1eKiBY5N
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  Gonna #sip🍺 n #bingewatch @CakeWars
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  Way to get you some! @RepMaxineWaters ""We're not afraid of you,"" Maxine Waters said about Donald Trump at a Los Angeles rally. https://t.co/awZZ38YQ0S via @HuffPostPol"
RT @Heather_3000: #MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  And I am out...I cannot take the stupid today! @POTUS yo…
RT @CarmineSabia: He had a shotgun. He did not legally own a gun. He had pressure cooker bombs and pipe bombs. Tell me what law would have…
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  And I am out...I cannot take the stupid today! @POTUS you say happy #canadaday2018 and be respectful...or shut up! World please know @POTUS doesn't speak for me. #FactsMatter #FactCheck #FDT
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  Almost time to celebrate when England said fuck it keep it...I mean independence day. On to our decline...read some history about nations that get too big too fast... Luv, hu"
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @OHenryHernandez: @FoxNews https://t.co/aJ43rD095J  [[[ Father of #SantaFeHighSchool shooter is a fan of #NRA spokesperson #DanaLoesch o…
RT @Heather_3000: #MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  So @POTUS don't care...he was on the @tweeter while on h…
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: ""Bullets tearing through our classrooms...targeting our safest, sacred places. And that nagging, sinking feeling, no ma…"
"RT @TheRealMrAleem: ""...victims of mental health illness are far more likely to be victims of crime...when it comes down to mass shootings,…"
"RT @TheRealMrAleem: ""...victims of mental health illness are far more likely to be victims of crime...when it comes down to mass shootings,…"
"RT @TheRealMrAleem: ""Bullets tearing through our classrooms...targeting our safest, sacred places. And that nagging, sinking feeling, no ma…"
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @Heather_3000: #MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  So @POTUS don't care...he was on the @tweeter while on h…
