Name,Package Name,Description,Rating,Rating Count
Watermelon Shooting Pro: Hit S,com.msruieach.mecarsi14m,"Watermelon Shooting Pro: Hit SHOOT is the epic new simulation of shooter games in which several watermelons are placed on different platforms and the user has to shoot all of them in a limited time period. In Games, the player has limited bullets and hence he has to take his aim carefully and aim accurately for the target otherwise he might waste his bullets.

Features
1. best Gun Controls
2. Amazing and cool graphics
3. keep your mind engaging
4. the newest concept of jumping watermelons around the town and shooting
5. best app for kids just back from the school",,
Survival Combat Strike Mission,com.counterstrike.force.real.combatstrike,"Be ready & prepare yourself for the counter shooting war mission in the modern free FPS action game

Features:
• Stunning 3D graphics with amazing gameplay.
• Easy tap to shoot the enemy
• Best warrior action with variety of weapons.
• Challenging & thrilling missions",,
Dead Town: Shooting Zombie,com.zombiewar.deadtown,"The dead walking monsters are back in the town with something terrible virus. The world is taken over by the these dead creature surfers around who scoff everything catch or hit, and whose bite is infectious to all citizens zombies shooting game you have to survive in crazy city which is overwhelm by killer zombies, take your weapon and reclaim what is yours! Accept the challenge to fight for survival of human in Dead Town: Shooting Zombie.

Features:
-Thrilling Zombie Rush towards your & Hack and Slash style FPS War-Z
- Aim to become a first class contract zombie killer in zombies’ shooter games.
- Stunning graphics with more heavy & light Weapon store.
- First person zombies shooting game with unlimited simulation in zombies games.
- Scary and effective soundtrack and realistic physics.",,
Animals Shooting Sniper,com.hunter.shootingsniper,"Animals Shooting Sniper is the best shooting game. This is the most popular hunting game takes you to extreme beautiful environments and most popular game around the world. The challenge has been issued. This Animals Hunting game gives you the full experience of hunting and sniper skills. So it’s time to reload your rifle and jump into the wilds of jungle and mountain world. Let’s imagine yourself as a hunter and enjoy playing a real time Animals hunting game. The game is loaded with full of action, hunting and shooting. While Face shooting the huge bears, Lions, Deer and Dinosaur etc. in HD graphics and best audio sound you won’t be disagree with this game. Those who love to be legend hunter will love to kill different types of animal in beautiful multi environment.

Features:
Amazing immersive 3D graphics and camera angle
Beautiful scenery
Easy and user-friendly game and gun controls
Realistic animals to hunt
A dangerous environment with the large variety of wild animals
Real stunning sound effects 
Shoot from a vantage point
Real-time shooting",,
