Name,Package Name,Description,Rating,Rating Count
Crime Scene Investigation NewYork (Pro) - Department of Justice - CIA,com.sbs.crimescenepro,"Criminal Scene - the #1 free hidden object game! Are you ready to solve murder cases?
Download now and discover who killed Emily Dewitt...
Join the Police of Washington to solve a series of murder cases in this captivating hidden object, adventure game. Investigate crime scenes for clues, bring the suspects in for questioning and analyze evidence to catch the killers. Are you ready to prove your detective skills?

FEATURES:
• Investigate crime scenes in a grim and corrupt city
• Play with your friends to be the best detective ever
• Examine clues and analyze samples to look for evidence
• Interrogate witnesses and suspects
• Bring the killer to justice

Under our Terms of Use and Privacy Policy, you must be at least 13 years old to play or download Criminal Scene.

Rate Us / Follow Us :

Web : http://skyblitzstudio.com
Facebook : https://www.facebook.com/SkyblitzStudio",,
MyFI (field interviewing for law enforcement),net.cop-apps.fipad,"Field interviewing for law enforcement taken to a whole new level.

SSL Storage. Field interviews are stored on a secure server for web access and retrieval if the user switches devices.

Photos. Take pics of tattoo, vehicles, persons, acquaintances, etc. and attach them to the FI card. Remember a face but not a name? Remember a vehicle but not a license plate? Search the photo library.

AirPrint. You don't need to install a driver or configure the printer queue. Tap print, select the printer that supports AirPrint, and print. It's that simple.

Search. FI card fields are searchable. Searching for someone that is bald, with green eyes, and a member of MS-13? Place those identifiers in the search field to locate potential suspects.

GPS. Remember a location but not the person? Need to compare locations to a crime map? Search pinned interview locations on a map to determine possible suspects.

Browser Access. Users can access their Fi-Cards via the web. Users can view, print, share, download, and delete FI-Cards from http://myfieldinterview.com

Email. Fi-Cards can be shared between users in-app or via email with the options of HTML or PDF format.",2.0,15
Crime Scene Investigation NewYork - Department of Justice - CIA,com.sbs.crimescene,"Criminal Scene - the #1 free hidden object game! Are you ready to solve murder cases?
Download now and discover who killed Emily Dewitt...
Join the Police of Washington to solve a series of murder cases in this captivating hidden object, adventure game. Investigate crime scenes for clues, bring the suspects in for questioning and analyze evidence to catch the killers. Are you ready to prove your detective skills?

FEATURES:
• Investigate crime scenes in a grim and corrupt city
• Play with your friends to be the best detective ever
• Examine clues and analyze samples to look for evidence
• Interrogate witnesses and suspects
• Bring the killer to justice

Under our Terms of Use and Privacy Policy, you must be at least 13 years old to play or download Criminal Scene.

Rate Us / Follow Us :

Web : http://skyblitzstudio.com
Facebook : https://www.facebook.com/SkyblitzStudio",,
